hotel_name,city,country,price_per_night,rating,rating_status,review_count,stars,location,distance_to_center,transportation_options,amenities
Bay Hotel Ho Chi Minh,Ho Chi Minh,Vietnam,1426677,,8.3Excellent,4699,4.0,"District 1, Ho Chi Minh City",0.0,"['Saigon Railway Station', 'Ben Xe Mien Dong Bus Station']","['Breakfast', 'Free fitness center access', '+10']"
LOTTE HOTEL SAIGON,Ho Chi Minh,Vietnam,11855203,,9.0Exceptional,10014,5.0,"District 1, Ho Chi Minh City",0.0,"['Saigon Railway Station', 'Ben Xe Mien Dong Bus Station']","['Breakfast', 'Free fitness center access', '+5']"
Belvilla Comfort Stays Near SECC formerly Cozy Hotel,Ho Chi Minh,Vietnam,478859,,8.7Excellent,427,4.0,"District 7, Ho Chi Minh City",3.5,['Ben Xe Mien Tay Bus Station'],[]
Golden Star Hotel - 60 Le Thanh Ton,Ho Chi Minh,Vietnam,979226,,7.6Very good,2259,3.0,"District 1, Ho Chi Minh City",0.0,"['Saigon Railway Station', 'Ben Xe Mien Dong Bus Station']","['Breakfast', 'Welcome drink', '+2']"
Yoko Airport Saigon Hotel,Ho Chi Minh,Vietnam,387434,,8.0Excellent,1530,4.0,"Tân Bình, Ho Chi Minh City",4.7,"['Saigon Railway Station', 'Ben Xe Mien Dong Bus Station', 'Parking']","['Parking', 'Express check-in', 'Free WiFi']"
Landmark 81 & Vinhomes Urban - Luxury Apartment,Ho Chi Minh,Vietnam,1117125,,8.0Excellent,354,5.0,"Bình Thạnh, Ho Chi Minh City",1.3,"['Ben Xe Mien Dong Bus Station', 'Saigon Railway Station', 'Parking']","['Free pool access', 'Parking', '+4']"
Triple E Hotel Metro Ben Thanh,Ho Chi Minh,Vietnam,1546340,,8.9Excellent,4858,3.0,"District 1, Ho Chi Minh City",0.0,"['Saigon Railway Station', 'Ben Xe Mien Dong Bus Station']",[]
Khach san Muong Thanh Luxury Saigon Hotel,Ho Chi Minh,Vietnam,1423877,,8.6Excellent,5697,4.0,"Phú Nhuận, Ho Chi Minh City",3.2,"['Saigon Railway Station', 'Ben Xe Mien Dong Bus Station']","['Breakfast', 'Free fitness center access', '+5']"
Asian Ruby Center Point Hotel,Ho Chi Minh,Vietnam,718373,,7.6Very good,2991,3.0,"District 1, Ho Chi Minh City",0.0,"['Saigon Railway Station', 'Ben Xe Mien Dong Bus Station', 'Parking']","['Breakfast', 'Welcome drink', 'Parking', 'Free WiFi']"
Liberty Hotel Saigon Parkview,Ho Chi Minh,Vietnam,932530,,7.9Very good,6092,3.0,"District 1, Ho Chi Minh City",0.0,"['Saigon Railway Station', 'Ben Xe Mien Dong Bus Station']","['Breakfast', 'Free WiFi']"
Sunshine Airport Hotel,Ho Chi Minh,Vietnam,426316,,8.8Excellent,95,4.0,"Tân Bình, Ho Chi Minh City",4.6,['Parking'],"['Parking', 'Express check-in', 'Free WiFi']"
Landmark 81 & Vinhomes - Royal Galaxy Apartment,Ho Chi Minh,Vietnam,1637672,,8.0Excellent,185,5.0,"Bình Thạnh, Ho Chi Minh City",1.3,"['Ben Xe Mien Dong Bus Station', 'Saigon Railway Station']","['Free WiFi', 'Free fitness center access', '+3']"
LA VELA SAIGON HOTEL,Ho Chi Minh,Vietnam,3769841,,9.0Exceptional,28144,5.0,"District 3, Ho Chi Minh City",1.5,"['Saigon Railway Station', 'Ben Xe Mien Dong Bus Station']","['Breakfast', 'Free fitness center access', '+8']"
Muong Thanh Saigon Centre Hotel,Ho Chi Minh,Vietnam,1660290,,8.5Excellent,3712,4.0,"District 1, Ho Chi Minh City",0.0,"['Saigon Railway Station', 'Ben Xe Mien Dong Bus Station', 'Parking']","['Breakfast', 'Welcome drink', 'Parking', '+3']"
Mia Saigon Luxury Boutique Hotel,Ho Chi Minh,Vietnam,4769752,,9.1Exceptional,3134,5.0,"District 2, Ho Chi Minh City",4.8,"['Ben Xe Mien Dong Bus Station', 'Saigon Railway Station']","['Breakfast', 'Free fitness center access', '+4']"
Tan Son Nhat Saigon Hotel,Ho Chi Minh,Vietnam,1694929,,8.5Excellent,4325,5.0,"Phú Nhuận, Ho Chi Minh City",3.5,"['Saigon Railway Station', 'Ben Xe Mien Dong Bus Station']","['Breakfast', 'Free fitness center access', '+4']"
Oscar Saigon Hotel,Ho Chi Minh,Vietnam,1121559,,7.9Very good,8853,4.0,"District 1, Ho Chi Minh City",0.0,"['Saigon Railway Station', 'Ben Xe Mien Dong Bus Station']","['Breakfast', 'Free fitness center access', 'Free WiFi']"
Hotel Continental Saigon,Ho Chi Minh,Vietnam,3437665,,8.4Excellent,7928,4.0,"District 1, Ho Chi Minh City",0.0,"['Saigon Railway Station', 'Ben Xe Mien Dong Bus Station']",[]
ibis Saigon Airport,Ho Chi Minh,Vietnam,1845000,,8.6Excellent,13147,4.0,"Tân Bình, Ho Chi Minh City",4.9,"['Saigon Railway Station', 'Ben Xe Mien Dong Bus Station', 'Airport transfer [both ways]']","['Breakfast', 'Free WiFi', 'Airport transfer [both ways]']"
Wink Hotel Saigon Centre - 24hrs Stay,Ho Chi Minh,Vietnam,1944444,,8.8Excellent,5136,4.0,"District 1, Ho Chi Minh City",0.5,"['Saigon Railway Station', 'Ben Xe Mien Dong Bus Station']","['Breakfast', 'Free fitness center access', '+4']"
Saigon Prince Hotel,Ho Chi Minh,Vietnam,2366692,,8.3Excellent,7426,4.0,"District 1, Ho Chi Minh City",0.0,"['Saigon Railway Station', 'Ben Xe Mien Dong Bus Station']","['Breakfast', 'Free fitness center access', '+5']"
G8 Riverside Hotel Saigon,Ho Chi Minh,Vietnam,1793272,,9.0Exceptional,134,3.0,"District 1, Ho Chi Minh City",0.3,[],"['Breakfast', 'Express check-in', 'Free WiFi']"
Lotte Hotel Hanoi,Hanoi,Vietnam,3750000,,9.2Exceptional,10876,5.0,"Ba Dinh, Hanoi",2.9,['Hanoi Railway Station'],"['Breakfast', 'Free fitness center access', '+8']"
Kecho Legacy Hotel & Spa,Hanoi,Vietnam,2547939,,9.1Exceptional,1203,5.0,"Old Quarter, Hanoi",0.0,['Hanoi Railway Station'],"['Breakfast', 'Welcome drink', 'Spa discount', '+3']"
Dolce by Wyndham Hanoi Golden Lake,Hanoi,Vietnam,2560000,,8.7Excellent,2339,5.0,"Ba Dinh, Hanoi",2.0,"['Hanoi Railway Station', 'Parking']","['Breakfast', 'Parking', 'Free WiFi', '+3']"
